experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse
extremes_handler_std_3_1-6,1,0.999693494105892,0.999382736645424,0.999540407382896,0.803030303030303,0.688311688311688,0.741258741258741,0.807692307692308,0.51219512195122,0.626865671641791,20.0459711551666
extremes_handler_std_3_1-6,2,0.999669188593133,0.999215908711755,0.999594873305834,0.692307692307692,0.701298701298701,0.696774193548387,0.818181818181818,0.5,0.620689655172414,18.4487829208374
extremes_handler_std_3_1-6,3,0.999601649782746,0.999199225918388,0.999724036427192,0.683544303797468,0.701298701298701,0.692307692307692,0.85,0.586206896551724,0.693877551020408,18.5998950004578
extremes_handler_std_3_1-6,4,0.999650446141109,0.999232591505122,0.999559382400999,0.69620253164557,0.714285714285714,0.705128205128205,0.75,0.6,0.666666666666667,18.329910993576
extremes_handler_IQR_3_3,1,0.99944975805538,0.999449467818892,0.999399939993999,0.805555555555556,0.753246753246753,0.778523489932886,0.871794871794872,0.871794871794872,0.871794871794872,1.26375517050425
extremes_handler_IQR_3_3,2,0.999450100680096,0.999215908711755,0.999087702226007,0.857142857142857,0.467532467532468,0.605042016806723,0.857142857142857,0.8,0.827586206896552,1.30106214682261
extremes_handler_IQR_3_3,3,0.999400625293613,0.999416102232158,0.999338465239355,0.875,0.636363636363636,0.736842105263158,0.911111111111111,0.854166666666667,0.881720430107527,1.26024394830068
extremes_handler_IQR_3_3,4,0.999450029520474,0.999249274298489,0.999211834606524,0.847826086956522,0.506493506493506,0.634146341463415,0.891304347826087,0.836734693877551,0.863157894736842,1.29500048557917
extremes_handler_std_2_4+8+9+11+30,1,0.999725963044159,0.998715424910747,0.999724393172825,0,0,0,0,0,0,2.65118098258972
extremes_handler_std_2_4+8+9+11+30,2,0.999712305479273,0.998715424910747,0.999784975663155,0,0,0,0,0,0,2.61182594299316
extremes_handler_std_2_4+8+9+11+30,3,0.99971254418,0.998715424910747,0.999784486981054,0,0,0,0,0,0,2.44159889221191
extremes_handler_std_2_4+8+9+11+30,4,0.999764728948142,0.998715424910747,0.999627998042095,0,0,0,0,0,0,2.63448214530945
extremes_handler_IQR_3_1+4+5,1,0.999588160509965,0.999316005471956,0.999516700676619,0.821428571428571,0.597402597402597,0.691729323308271,0.861111111111111,0.584905660377358,0.696629213483146,19.0291910171509
extremes_handler_IQR_3_1+4+5,2,0.999540449404673,0.999115811951553,0.999444921930955,0.928571428571429,0.337662337662338,0.495238095238095,0.91304347826087,0.42,0.575342465753425,18.9753921031952
extremes_handler_IQR_3_1+4+5,3,0.999570341638072,0.999449467818892,0.999641743990255,0.823529411764706,0.727272727272727,0.772413793103448,0.851851851851852,0.58974358974359,0.696969696969697,19.1212110519409
extremes_handler_IQR_3_1+4+5,4,0.999588165426189,0.999182543125021,0.999462933457455,0.85,0.441558441558442,0.581196581196581,0.8,0.5,0.615384615384615,18.9476730823517
extremes_handler_std_3_1-6+10-16+21-26,1,0.999779640035517,0.998715424910747,0.999766464269033,0,0,0,0,0,0,3.03952312469482
extremes_handler_std_3_1-6+10-16+21-26,2,0.999773260258354,0.998715424910747,0.99976618669992,0,0,0,0,0,0,3.01441788673401
extremes_handler_std_3_1-6+10-16+21-26,3,0.999747206305582,0.998715424910747,0.99984436100465,0,0,0,0,0,0,2.90929198265076
extremes_handler_std_3_1-6+10-16+21-26,4,0.999785882520876,0.998715424910747,0.999728429546865,0,0,0,0,0,0,3.00793313980103
extremes_handler_std_2_7,1,0.999421685107541,0.999249274298489,0.999437570303712,0.705128205128205,0.714285714285714,0.709677419354839,0.888888888888889,0.864864864864865,0.876712328767123,1.18763508001963
extremes_handler_std_2_7,2,0.999464431447225,0.999282639885222,0.999239061509195,0.757575757575758,0.649350649350649,0.699300699300699,0.883720930232558,0.844444444444444,0.863636363636364,1.19512928326925
extremes_handler_std_2_7,3,0.99938687399409,0.999282639885222,0.99924920227742,0.765625,0.636363636363636,0.695035460992908,0.906976744186046,0.829787234042553,0.866666666666667,1.19325488011042
extremes_handler_std_2_7,4,0.999455708259627,0.999382736645424,0.999113362887904,0.934782608695652,0.558441558441558,0.699186991869919,0.866666666666667,0.829787234042553,0.847826086956522,1.2034685810407
extremes_handler_std_2_19,1,0.999405066154968,0.999249274298489,0.999443792101848,0.705128205128205,0.714285714285714,0.709677419354839,0.891891891891892,0.868421052631579,0.88,1.24553020000458
extremes_handler_std_2_19,2,0.999480284334764,0.999282639885222,0.999185871743487,0.757575757575758,0.649350649350649,0.699300699300699,0.863636363636364,0.844444444444444,0.853932584269663,1.28757198254267
extremes_handler_std_2_19,3,0.999395902203279,0.999382736645424,0.99931926480599,0.844827586206897,0.636363636363636,0.725925925925926,0.911111111111111,0.854166666666667,0.881720430107527,1.28144114812215
extremes_handler_std_2_19,4,0.999396378269618,0.999232591505122,0.999000312402374,0.792452830188679,0.545454545454545,0.646153846153846,0.863636363636364,0.791666666666667,0.826086956521739,1.28909496466319
extremes_handler_std_2_3,1,0.999450490867486,0.999449467818892,0.999394489857705,0.805555555555556,0.753246753246753,0.778523489932886,0.871794871794872,0.871794871794872,0.871794871794872,1.31305443445841
extremes_handler_std_2_3,2,0.999443229921479,0.999215908711755,0.999076184024142,0.857142857142857,0.467532467532468,0.605042016806723,0.857142857142857,0.8,0.827586206896552,1.31605998277664
