experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse,rank
IQR_3_Time,3,0.999438215582792,0.999416102232158,0.999587069372345,0.818181818181818,0.701298701298701,0.755244755244755,0.936170212765957,0.916666666666667,0.926315789473684,1.12010465065638,5
IQR_3_Amount,3,0.999405900802908,0.999416102232158,0.999360736431631,0.8,0.727272727272727,0.761904761904762,0.911111111111111,0.872340425531915,0.891304347826087,59.6960518360138,4
IQR_3_Time+Amount,3,0.999574559996858,0.999399419438791,0.999509245808959,0.797101449275362,0.714285714285714,0.753424657534247,0.902439024390244,0.813186813186813,0.855491329479769,13.8474431037903,7
IQR_3_V2,3,0.999441123584585,0.999449467818892,0.99939860476305,0.833333333333333,0.714285714285714,0.769230769230769,0.91304347826087,0.875,0.893617021276596,1.09492261807124,1
std_3_V3,3,0.999433820832204,0.999416102232158,0.999584717607973,0.818181818181818,0.701298701298701,0.755244755244755,0.936170212765957,0.916666666666667,0.926315789473684,1.11042318344116,5
std_2_V3,3,0.999437991757212,0.999449467818892,0.999396681749623,0.833333333333333,0.714285714285714,0.769230769230769,0.91304347826087,0.875,0.893617021276596,1.08557228247325,1
IQR_3_Time+V3+V4,1,0.999618003951272,0.999449467818892,0.999534600651559,0.84375,0.701298701298701,0.765957446808511,0.846153846153846,0.622641509433962,0.717391304347826,15.0107729434967,3
std_3_Time+V3+V4,1,0.999626636476412,0.998898935637783,0.999530202554975,0.634146341463415,0.337662337662338,0.440677966101695,0.807692307692308,0.5,0.617647058823529,14.9730250835419,10
IQR_3_Time~V5,3,0.99959610794933,0.999232591505122,0.999669330394048,0.754098360655738,0.597402597402597,0.666666666666667,0.884615384615385,0.605263157894737,0.71875,14.8012290000916,8
std_3_Time~V5,3,0.999626163642269,0.999149177538287,0.999742433998712,0.709677419354839,0.571428571428571,0.633093525179856,0.941176470588235,0.551724137931034,0.695652173913043,14.7331249713898,9
IQR_4_All,1,0.99983094543764,0.998715424910747,0.999788878098214,0,0,0,0,0,0,2.81202697753906,11
IQR_4_all,1,0.999811835544266,0.998715424910747,0.99977856510186,0,0,0,0,0,0,2.8935079574585,11
