experiment,train_accuracy_ave,train_accuracy_var,test_accuracy_ave,test_accuracy_var,val_accuracy_ave,val_accuracy_var,test_precision_ave,test_precision_var,test_recall_ave,test_recall_var,test_f1_ave,test_f1_var,val_precision_ave,val_precision_var,val_recall_ave,val_recall_var,val_f1_ave,val_f1_var,timeuse_ave,timeuse_var
IQR_3_Time,0.999472269385492,1.23153113126219e-09,0.999378565947082,1.78817769481302e-08,0.999317482872573,6.1795662357783e-08,0.825216958942501,0.00241172506388624,0.652597402597403,0.00656378253780852,0.727950139847505,0.00473701516513912,0.894561870100784,0.000869248051704038,0.846559829059829,0.003662723719775,0.869580727274385,0.00203647404552933,1.11984676718712,0.000117213361220476
IQR_3_Amount,0.999487277890146,3.26969751157013e-09,0.999265957091855,1.13181675106157e-08,0.999292176972862,3.72987867466865e-08,0.732080425264436,0.00239438770168866,0.678571428571429,0.00319053241131163,0.703340347595667,0.00204970620395232,0.889896637179246,0.000942431425705634,0.8584147977765,0.000374385739782827,0.873826852129088,0.000590729335456749,59.4398297071457,0.112929142585566
IQR_3_Time+Amount,0.999602390982162,3.84424856330636e-10,0.999399419438791,7.97838037633887e-09,0.999371677086042,9.58462307980711e-09,0.825424909574075,0.00120227631554195,0.675324675324675,0.00348569179738011,0.742032753122098,0.00200279370024593,0.863220458188897,0.00145651130692569,0.746589798499461,0.00279017644395163,0.799826449969129,0.00142152445491647,13.3352820277214,0.209338567927314
IQR_3_V2,0.999478090198787,1.43013033933672e-09,0.999366053852057,1.22458861590242e-08,0.99931983595114,2.66323693082628e-08,0.825409226190476,0.000669249796272675,0.646103896103896,0.0152217911958172,0.718296811359568,0.00624012494806732,0.890189127710581,0.000555638700279399,0.856086473050759,0.00140363151509849,0.87272951235859,0.000924812253961157,1.08818936645985,5.01377495631781e-05
std_3_V3,0.999468221929452,1.25462514886714e-09,0.999378565947082,1.78817769481302e-08,0.999313083837807,6.26861014103027e-08,0.825216958942501,0.00241172506388624,0.652597402597403,0.00656378253780852,0.727950139847505,0.00473701516513912,0.894561870100784,0.000869248051704038,0.846559829059829,0.003662723719775,0.869580727274385,0.00203647404552933,1.10851093729337,1.31559122344847e-05
std_2_V3,0.999475339246208,1.45696246145216e-09,0.999366053852057,1.22458861590242e-08,0.999316765757197,2.69125347169493e-08,0.825409226190476,0.000669249796272675,0.646103896103896,0.0152217911958172,0.718296811359568,0.00624012494806732,0.890189127710581,0.000555638700279399,0.856086473050759,0.00140363151509849,0.87272951235859,0.000924812253961157,1.08237733344237,6.4923901346314e-06
IQR_3_Time+V3+V4,0.99961206439972,4.72919172135907e-11,0.999399419438791,1.91110041572823e-08,0.99954343483336,7.78318965828082e-09,0.853818635387036,0.000580037541948058,0.642857142857143,0.0157980547590937,0.727777018137018,0.00822728815999278,0.83041958041958,0.00283315493105703,0.583304608127721,0.00192341619094377,0.685010495315517,0.00210341373870587,15.1708132624626,0.0148514285433663
std_3_Time+V3+V4,0.99960704744861,3.95107647357428e-10,0.999049080778086,1.05759925918895e-08,0.99956640134941,7.61023114023564e-09,0.846581299272636,0.0217686698545847,0.331168831168831,5.62208354416147e-05,0.473262766937805,0.000565113930357509,0.896367521367521,0.00623828134511895,0.426250473664267,0.00263396865835747,0.574437438646832,0.00128197744402986,15.0476830601692,0.00442138003352947
IQR_3_Time~V5,0.999631231361296,6.06266640672743e-10,0.999261786393514,1.23154650576638e-08,0.99950887266449,1.53070859927837e-08,0.753647722729731,0.00226506518884658,0.633116883116883,0.00510204081632653,0.686759259259259,0.00269578189300412,0.778362840862841,0.00504365201531461,0.568948970147369,0.00810271185126761,0.654226543985897,0.00549109566113566,14.699291229248,0.00528453571386459
std_3_Time~V5,0.999669020309692,8.73803670705344e-10,0.99925344499683,9.34676538273927e-09,0.999623043572079,7.31668739878203e-09,0.736051092919443,0.00225675536384256,0.655844155844156,0.00387923764547141,0.692283910995149,0.00202464064353882,0.831613746294274,0.00641775014576285,0.561813148303897,0.00149503022520002,0.668605004866969,0.00111930559671971,14.8438944816589,0.00865879644360727
IQR_4_All,0.999820407340606,2.81604326954766e-10,0.998715424910747,0,0.999820422109093,2.52713491152098e-09,0,0,0,0,0,0,0,0,0,0,0,0,2.95205897092819,0.0196085910133803
IQR_4_all,0.999803509774062,3.11154289323843e-10,0.998715424910747,0,0.999803508114298,2.79997613263836e-09,0,0,0,0,0,0,0,0,0,0,0,0,2.9239199757576,0.00555156675751789
