experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse
imbalance_handler_200_200,1,0.99863184079602,0.999249274298489,0.998482587064677,0.69047619047619,0.753246753246753,0.720496894409938,0.856410256410256,0.835,0.845569620253164,3.47139692306519
imbalance_handler_200_200,2,0.998905472636816,0.999316005471956,0.998830845771144,0.743243243243243,0.714285714285714,0.728476821192053,0.918032786885246,0.84,0.877284595300261,3.46237707138062
imbalance_handler_200_200,3,0.99865671641791,0.999332688265323,0.998606965174129,0.74025974025974,0.74025974025974,0.74025974025974,0.909090909090909,0.8,0.851063829787234,3.24172806739807
imbalance_handler_200_200,4,0.998830845771144,0.999215908711755,0.998532338308458,0.6875,0.714285714285714,0.700636942675159,0.922155688622755,0.77,0.839237057220709,3.37884497642517
imbalance_handler_250_200,1,0.998726368159204,0.999366053852057,0.998626865671642,0.753246753246753,0.753246753246753,0.753246753246753,0.891774891774892,0.824,0.856548856548856,3.91840696334839
imbalance_handler_250_200,2,0.998746268656716,0.999049080778086,0.998388059701493,0.602040816326531,0.766233766233766,0.674285714285714,0.862660944206009,0.804,0.832298136645963,3.83666086196899
imbalance_handler_250_200,3,0.998686567164179,0.999366053852057,0.998726368159204,0.8,0.675324675324675,0.732394366197183,0.934579439252336,0.8,0.862068965517242,3.92658996582031
imbalance_handler_250_200,4,0.998805970149254,0.999215908711755,0.998308457711443,0.670454545454545,0.766233766233766,0.715151515151515,0.854077253218884,0.796,0.824016563146998,3.98550605773926
imbalance_handler_415_475,1,0.99951402247646,0.999265957091856,0.999215348790118,0.811320754716981,0.558441558441558,0.661538461538462,0.882352941176471,0.72289156626506,0.794701986754967,22.1770248413086
imbalance_handler_415_475,2,0.999549458337552,0.999466150612259,0.999382403563835,0.868852459016393,0.688311688311688,0.768115942028986,0.929618768328446,0.763855421686747,0.838624338624339,22.3481528759003
imbalance_handler_415_475,3,0.99949377341298,0.999432785025525,0.999352029968614,0.841269841269841,0.688311688311688,0.757142857142857,0.906515580736544,0.771084337349398,0.833333333333333,22.5165209770203
imbalance_handler_415_475,4,0.999468462083629,0.999466150612259,0.999119165738585,0.846153846153846,0.714285714285714,0.774647887323944,0.86404833836858,0.689156626506024,0.766756032171582,22.4848878383636
imbalance_handler_415_300,1,0.999183444742425,0.999432785025525,0.999015330424689,0.794520547945205,0.753246753246753,0.773333333333333,0.910112359550562,0.780722891566265,0.840466926070039,12.6171100139618
imbalance_handler_415_300,2,0.999319537285354,0.999532881785726,0.999087379418004,0.915254237288136,0.701298701298701,0.794117647058823,0.954682779456193,0.76144578313253,0.847184986595174,12.2559418678284
imbalance_handler_415_300,3,0.999151422967618,0.999466150612259,0.999079373974303,0.846153846153846,0.714285714285714,0.774647887323944,0.960122699386503,0.754216867469879,0.844804318488529,12.8039331436157
imbalance_handler_415_300,4,0.999375575391266,0.999316005471956,0.999047352199496,0.75,0.701298701298701,0.724832214765101,0.935294117647059,0.766265060240964,0.842384105960265,12.6710078716278
imbalance_handler_830_120,1,0.998436722094992,0.999482833405625,0.998456636463208,0.819444444444444,0.766233766233766,0.791946308724832,0.953020134228188,0.855421686746988,0.901587301587301,9.50928807258606
imbalance_handler_830_120,2,0.998237578412825,0.999466150612259,0.998337150253908,0.826086956521739,0.74025974025974,0.780821917808219,0.959778085991678,0.833734939759036,0.892327530625403,9.11099696159363
imbalance_handler_830_120,3,0.998098177835308,0.999299322678589,0.998367021806233,0.721518987341772,0.74025974025974,0.730769230769231,0.957417582417582,0.839759036144578,0.894736842105263,9.45590901374817
imbalance_handler_830_120,4,0.998406850542667,0.999449467818892,0.997779547943841,0.833333333333333,0.714285714285714,0.769230769230769,0.948301329394387,0.773493975903614,0.852023888520239,9.41005516052246
imbalance_handler_1660_10,1,0.985377875136911,0.998298355076574,0.984118291347207,0.417218543046358,0.818181818181818,0.552631578947368,0.969821673525377,0.851807228915663,0.90699166132136,1.24845814704895
imbalance_handler_1660_10,2,0.986966046002191,0.998682059324013,0.983296823658269,0.4921875,0.818181818181818,0.614634146341463,0.98846431146359,0.825903614457831,0.899901542500821,1.07241296768188
imbalance_handler_1660_10,3,0.985158817086528,0.998982349604618,0.988828039430449,0.574074074074074,0.805194805194805,0.67027027027027,0.991228070175439,0.884939759036145,0.935073201782304,1.18926811218262
imbalance_handler_1660_10,4,0.985706462212486,0.998465183010243,0.982913472070099,0.446043165467626,0.805194805194805,0.574074074074074,0.982117310443491,0.82710843373494,0.897972531066056,1.30795001983643
imbalance_handler_200_100,1,0.998267326732673,0.998882252844416,0.997475247524752,0.548076923076923,0.74025974025974,0.629834254143646,0.925714285714286,0.81,0.864,1.55958008766174
imbalance_handler_200_100,2,0.998217821782178,0.999199225918388,0.997871287128713,0.662921348314607,0.766233766233766,0.710843373493976,0.93854748603352,0.84,0.886543535620053,1.39203715324402
imbalance_handler_200_100,3,0.997970297029703,0.999232591505122,0.997722772277228,0.67816091954023,0.766233766233766,0.719512195121951,0.913978494623656,0.85,0.880829015544041,1.51138591766357
imbalance_handler_200_100,4,0.997623762376238,0.999015715191352,0.996881188118812,0.595744680851064,0.727272727272727,0.654970760233918,0.895953757225434,0.775,0.831099195710456,1.35098195075989
imbalance_handler_300_200,1,0.998805970149254,0.999466150612259,0.998822553897181,0.816901408450704,0.753246753246753,0.783783783783784,0.901754385964912,0.856666666666667,0.878632478632479,5.2333869934082
imbalance_handler_300_200,2,0.998839137645108,0.999382736645424,0.99832504145937,0.785714285714286,0.714285714285714,0.748299319727891,0.899598393574297,0.746666666666667,0.816029143897996,5.00243592262268
imbalance_handler_300_200,3,0.998922056384743,0.999432785025525,0.998739635157546,0.811594202898551,0.727272727272727,0.767123287671233,0.944444444444444,0.793333333333333,0.86231884057971,5.08846211433411
imbalance_handler_300_200,4,0.998789386401327,0.999416102232158,0.998540630182421,0.808823529411765,0.714285714285714,0.758620689655172,0.9140625,0.78,0.841726618705036,5.00343704223633
imbalance_handler_400_50,1,0.996519607843137,0.999199225918388,0.99593137254902,0.666666666666667,0.753246753246753,0.707317073170732,0.964809384164223,0.8225,0.887989203778678,1.43718290328979
imbalance_handler_400_50,2,0.996960784313725,0.999299322678589,0.997009803921569,0.705882352941177,0.779220779220779,0.740740740740741,0.977464788732394,0.8675,0.919205298013245,1.39412617683411
imbalance_handler_400_50,3,0.99593137254902,0.999165860331654,0.997450980392157,0.651685393258427,0.753246753246753,0.698795180722892,0.967741935483871,0.9,0.932642487046632,1.48352909088135
imbalance_handler_400_50,4,0.996666666666667,0.999416102232158,0.995441176470588,0.783783783783784,0.753246753246753,0.768211920529801,0.966565349544073,0.795,0.872427983539095,1.53562021255493
imbalance_handler_350_200,1,0.998905472636816,0.999399419438791,0.998706467661692,0.815384615384615,0.688311688311688,0.746478873239437,0.938983050847458,0.791428571428571,0.85891472868217,5.82013416290283
imbalance_handler_350_200,2,0.99864960909737,0.999182543125021,0.998678038379531,0.659090909090909,0.753246753246753,0.703030303030303,0.890577507598784,0.837142857142857,0.863033873343152,5.95366597175598
imbalance_handler_350_200,3,0.998848614072495,0.999449467818892,0.998734896943852,0.814285714285714,0.74025974025974,0.775510204081633,0.901538461538462,0.837142857142857,0.868148148148148,5.56027221679688
imbalance_handler_350_200,4,0.998834399431414,0.999416102232158,0.998393745557925,0.838709677419355,0.675324675324675,0.748201438848921,0.930909090909091,0.731428571428571,0.8192,5.92177891731262
imbalance_handler_650_80,1,0.997796771130104,0.999099129158186,0.99718898385565,0.621052631578947,0.766233766233766,0.686046511627907,0.943462897526502,0.821538461538462,0.878289473684211,4.12370991706848
imbalance_handler_650_80,2,0.997701804368471,0.999049080778086,0.997416904083571,0.602040816326531,0.766233766233766,0.674285714285714,0.946180555555556,0.838461538461538,0.889070146818923,4.05739903450012
imbalance_handler_650_80,3,0.997815764482431,0.999316005471956,0.998195631528965,0.714285714285714,0.779220779220779,0.745341614906832,0.960199004975124,0.890769230769231,0.924181963288109,3.71345114707947
imbalance_handler_650_80,4,0.997739791073124,0.999265957091856,0.997207977207977,0.698795180722892,0.753246753246753,0.725,0.954792043399638,0.812307692307692,0.877805486284289,4.09368395805359
imbalance_handler_560_120,1,0.998170011806375,0.999482833405625,0.997919126328217,0.838235294117647,0.74025974025974,0.786206896551724,0.954446854663774,0.785714285714286,0.861900097943193,5.81643486022949
imbalance_handler_560_120,2,0.99836186540732,0.999149177538287,0.998184769775679,0.644444444444444,0.753246753246753,0.694610778443114,0.941414141414141,0.832142857142857,0.883412322274882,5.3808388710022
imbalance_handler_560_120,3,0.998243801652893,0.999332688265323,0.998258559622196,0.734177215189873,0.753246753246753,0.743589743589744,0.940239043824701,0.842857142857143,0.888888888888889,5.78581309318542
imbalance_handler_560_120,4,0.998347107438017,0.999449467818892,0.998288075560803,0.814285714285714,0.74025974025974,0.775510204081633,0.944,0.842857142857143,0.890566037735849,5.63429594039917
