experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse,rank
200_200,3,0.998905473,0.999215909,0.999129353,0.670454545,0.766233766,0.715151515,0.923076923,0.9,0.911392405,2.786776066,9
250_200,2,0.99878607,0.999466151,0.99880597,0.826086957,0.74025974,0.780821918,0.924107143,0.828,0.873417722,3.367079973,3
415_475,1,0.999600081,0.999482833,0.9994634,0.870967742,0.701298701,0.776978417,0.901298701,0.836144578,0.8675,19.34177709,4
415_300,3,0.999311532,0.999499516,0.99927951,0.873015873,0.714285714,0.785714286,0.940379404,0.836144578,0.885204082,11.04135704,1
830_120,3,0.998376979,0.999332688,0.998426765,0.734177215,0.753246753,0.743589744,0.946808511,0.857831325,0.900126422,8.639225006,7
1660_10,3,0.984884995,0.998481866,0.987185104,0.45,0.818181818,0.580645161,0.97218543,0.884337349,0.926182965,1.039240122,12
200_100,1,0.998019802,0.999032398,0.998168317,0.595959596,0.766233766,0.670454545,0.945355191,0.865,0.903394256,1.347553015,11
300_200,2,0.998839138,0.999416102,0.998905473,0.783783784,0.753246753,0.768211921,0.917857143,0.856666667,0.886206897,4.800570011,5
400_50,1,0.996323529,0.999082446,0.99627451,0.614583333,0.766233766,0.682080925,0.968208092,0.8375,0.898123324,1.055638075,10
350_200,3,0.998891258,0.999366054,0.998905473,0.76,0.74025974,0.75,0.922600619,0.851428571,0.885586924,5.591716051,6
650_80,3,0.997530864,0.999299323,0.998005698,0.716049383,0.753246753,0.734177215,0.957983193,0.876923077,0.915662651,3.476003885,8
560_120,3,0.998317591,0.999466151,0.998361865,0.816901408,0.753246753,0.783783784,0.948103792,0.848214286,0.895381715,5.24634099,2
