experiment,train_accuracy_ave,train_accuracy_var,test_accuracy_ave,test_accuracy_var,val_accuracy_ave,val_accuracy_var,test_precision_ave,test_precision_var,test_recall_ave,test_recall_var,test_f1_ave,test_f1_var,val_precision_ave,val_precision_var,val_recall_ave,val_recall_var,val_f1_ave,val_f1_var,timeuse_ave,timeuse_var
baseline,0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,31.2542511820793,9.22253261748788
th(0.1),0.999407052262435,1.74611867468832e-08,0.999403590137133,6.56360943750928e-09,0.999315143336834,1.65620436048435e-08,0.794267574693859,0.0025676762112235,0.727272727272727,0.000674650025299376,0.758436268165332,0.000707753159184315,0.816360655210339,0.00252129977800783,0.814530433159074,0.0010403842795732,0.81477774102967,0.00104711844397343,32.0389893054962,9.17432348074131
th(0.2),0.999448558471957,9.67978946724615e-09,0.999441126422208,8.25669597085906e-09,0.999355168241219,1.63232252706833e-08,0.824181452350466,0.00316402670815963,0.720779220779221,0.000618429189857762,0.768574475717333,0.0011751474490225,0.838168493389858,0.00172241216517736,0.807248879761016,0.000667424455911143,0.822344076021378,0.00109004109239291,32.8025444149971,8.98605578559986
th(0.3),0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,33.6836822628975,8.55957225745409
th(0.4),0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,34.5008746981621,8.26478700047097
th(0.5),0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,35.3449537754059,8.81359725194265
th(0.6),0.999512300212076,1.90705959213561e-09,0.999453638517233,5.82143451877993e-09,0.999395192591839,4.0082675842708e-09,0.853453433694775,0.00147754343562688,0.694805194805195,0.00208017091133974,0.765307166762315,0.00124495174376388,0.883221966112026,0.000617368243511434,0.775882188200149,0.00176097863370258,0.825303447011368,0.000467657856060735,36.1442537307739,8.38864370787705
th(0.7),0.999500441262423,2.42270482204203e-09,0.999441126422208,7.14343359276719e-09,0.999368509796905,6.85633950253494e-09,0.864840597255851,0.000725125657847167,0.668831168831169,0.00252993759487266,0.753977472664056,0.00170353003228844,0.885099388592646,0.000538153535696409,0.75665141896938,0.00210207704238874,0.815171868063999,0.000751364097568232,37.0652704834938,7.82566782864449
th(0.8),0.99945300544623,3.33671764464659e-09,0.999399419438791,2.54194909664679e-08,0.999328485604487,4.72070351967416e-09,0.891620229652144,0.00245469735686975,0.603896103896104,0.0110755045819981,0.717605126592067,0.00755624001244663,0.890523389532396,0.00146651279868382,0.727641896938013,0.00235679479185084,0.79953412658516,0.000565294174861416,37.8900892138481,7.40930056196413
th(0.9),0.999395193066671,6.91396437301217e-09,0.999303493376931,4.47856177520578e-08,0.999288460700111,6.96354860295921e-09,0.896230158730159,0.0028258062484253,0.516233766233766,0.025453983246191,0.645868527695333,0.0172958933849316,0.90799096781125,0.00267049454377505,0.688946975354742,0.0067133523544354,0.77944582342305,0.00145514503615063,38.6534579396248,7.52005644329599
th(1),0.9981544482354,8.73572414371765e-12,0.998715424910747,0,0.998154448322681,7.86246374970845e-11,0,0,0,0,0,0,0,0,0,0,0,0,39.5287885069847,7.78399578405767
