experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse
baseline,1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,40.237193107605
baseline,2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,41.6276679039001
baseline,3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,42.6452779769897
baseline,4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,40.6613268852234
remove Amount,1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,42.3066749572754
remove Amount,2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,41.8177580833435
remove Amount,3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,42.6914110183716
remove Amount,4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,42.238401889801
log,1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,41.2101051807404
log,2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,39.4135119915009
log,3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,41.0960268974304
log,4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,41.044764995575
min_max_norm,1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,39.8025841712952
min_max_norm,2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,40.5283491611481
min_max_norm,3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,40.6730489730835
min_max_norm,4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,39.7218489646912
zscore_norm,1,0.999567143204445,0.99956624737246,0.999430787292326,0.904761904761905,0.74025974025974,0.814285714285714,0.86734693877551,0.817307692307692,0.841584158415842,40.7337739467621
zscore_norm,2,0.999513783064234,0.999432785025525,0.9993951899815,0.811594202898551,0.727272727272727,0.767123287671233,0.864583333333333,0.798076923076923,0.83,37.4614341259003
zscore_norm,3,0.999460420990216,0.999416102232158,0.999448545761807,0.85,0.662337662337662,0.744525547445255,0.918604651162791,0.766990291262136,0.835978835978836,38.5922799110413
zscore_norm,4,0.999507853589408,0.999399419438791,0.99930624733172,0.847457627118644,0.649350649350649,0.735294117647059,0.882352941176471,0.721153846153846,0.793650793650794,41.2828080654144
