Method,Range,TargetFeature,Precision,Recall,F1,FraudNumberOfRow,NumberOfRow
IQR,-3~3,V1,0.861538,0.727273,0.788732,411,222554
IQR,-3~3,V2,0.861538,0.727273,0.788732,405,219712
IQR,-3~3,V5,0.861538,0.727273,0.788732,409,221918
IQR,-3~3,V7,0.861538,0.727273,0.788732,409,221436
IQR,-3~3,V10,0.861538,0.727273,0.788732,409,221532
IQR,-3~3,V12,0.861538,0.727273,0.788732,411,222709
IQR,-3~3,V14,0.861538,0.727273,0.788732,409,221381
IQR,-3~3,V17,0.861538,0.727273,0.788732,411,222734
std,-3~3,V1,0.861538,0.727273,0.788732,409,221894
std,-3~3,V2,0.861538,0.727273,0.788732,409,221412
std,-3~3,V3,0.861538,0.727273,0.788732,411,223156
std,-3~3,V4,0.861538,0.727273,0.788732,411,222757
std,-3~3,V5,0.861538,0.727273,0.788732,410,222399
std,-3~3,V6,0.861538,0.727273,0.788732,409,221132
std,-3~3,V7,0.861538,0.727273,0.788732,409,222086
std,-3~3,V8,0.861538,0.727273,0.788732,409,221562
std,-3~3,V9,0.861538,0.727273,0.788732,411,223108
std,-3~3,V10,0.861538,0.727273,0.788732,409,222085
std,-3~3,V12,0.861538,0.727273,0.788732,411,222787
std,-3~3,V14,0.861538,0.727273,0.788732,409,221972
std,-3~3,V16,0.861538,0.727273,0.788732,411,223263
std,-3~3,V17,0.861538,0.727273,0.788732,411,222832
std,-3~3,V19,0.861538,0.727273,0.788732,411,222497
std,-3~3,V20,0.861538,0.727273,0.788732,409,221120
std,-3~3,V21,0.861538,0.727273,0.788732,409,221603
std,-3~3,V23,0.861538,0.727273,0.788732,409,222084
std,-3~3,V25,0.861538,0.727273,0.788732,411,222628
std,-3~3,V27,0.861538,0.727273,0.788732,407,220997
std,-3~3,V28,0.861538,0.727273,0.788732,410,222256
std,-3~3,Amount,0.861538,0.727273,0.788732,409,221555
IQR,-3~3,Time,0.838235,0.74026,0.786207,415,224865
IQR,-3~3,V3,0.838235,0.74026,0.786207,415,223739
IQR,-3~3,V4,0.838235,0.74026,0.786207,415,224273
IQR,-3~3,V9,0.838235,0.74026,0.786207,415,223648
IQR,-3~3,V11,0.838235,0.74026,0.786207,415,224672
IQR,-3~3,V13,0.838235,0.74026,0.786207,415,224856
IQR,-3~3,V15,0.838235,0.74026,0.786207,415,224822
IQR,-3~3,V16,0.838235,0.74026,0.786207,415,224011
IQR,-3~3,V18,0.838235,0.74026,0.786207,415,224386
IQR,-3~3,V19,0.838235,0.74026,0.786207,415,223751
IQR,-3~3,V22,0.838235,0.74026,0.786207,415,224512
IQR,-3~3,V24,0.838235,0.74026,0.786207,415,224687
IQR,-3~3,V25,0.838235,0.74026,0.786207,415,224051
IQR,-3~3,V26,0.838235,0.74026,0.786207,415,224542
std,-3~3,Time,0.838235,0.74026,0.786207,415,224865
std,-3~3,V11,0.838235,0.74026,0.786207,415,224300
std,-3~3,V13,0.838235,0.74026,0.786207,415,224041
std,-3~3,V15,0.838235,0.74026,0.786207,415,223872
std,-3~3,V18,0.838235,0.74026,0.786207,412,223540
std,-3~3,V22,0.838235,0.74026,0.786207,415,223768
std,-3~3,V24,0.838235,0.74026,0.786207,415,224374
std,-3~3,V26,0.838235,0.74026,0.786207,415,224211
IQR,-3~3,V6,0.883333,0.688312,0.773723,403,216991
IQR,-3~3,V8,0.883333,0.688312,0.773723,398,213635
IQR,-3~3,V20,0.883333,0.688312,0.773723,394,211900
IQR,-3~3,V21,0.883333,0.688312,0.773723,403,217084
IQR,-3~3,V23,0.883333,0.688312,0.773723,401,215893
IQR,-3~3,V27,0.883333,0.688312,0.773723,393,207932
IQR,-3~3,V28,0.883333,0.688312,0.773723,394,211251
IQR,-3~3,Amount,0.883333,0.688312,0.773723,390,203732
std,-3~3,V3+V4+V5+V6+V22+V23+V24+V25,0.815385,0.688312,0.746479,130,206840
IQR,-4.5~4.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.602041,0.766234,0.674286,59,200754
IQR,-4.5~4.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,0.653333,0.636364,0.644737,50,191873
std,-3~3,V10+V11+V12+V13+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28+Amount,0.6,0.662338,0.62963,49,188844
std,-3~3,V7+V9,0.56383,0.688312,0.619883,197,220512
IQR,-3~3,V7+V9,0.56383,0.688312,0.619883,188,220475
std,-4.5~4.5,V1+V2+V3+V4+V5+V6+V7+V8+V9+V10+V11+V12+V13+V15+V16+V17+V18+V19+V20+V21+V22+V23+V24+V25+V26+V27+V28,0.588235,0.519481,0.551724,56,208793
