NumberOfSample,Amplification,Precision,Recall,F1,NumberOfRow
415,475,0.946429,0.688312,0.796992,197540
415,300,0.9,0.701299,0.788321,124915
415,120,0.838235,0.74026,0.786207,50215
200,200,0.838235,0.74026,0.786207,40200
325,200,0.838235,0.74026,0.786207,65325
415,515,0.838235,0.74026,0.786207,214140
830,120,0.816901,0.753247,0.783784,100430
415,100,0.826087,0.74026,0.780822,41915
325,300,0.826087,0.74026,0.780822,97825
415,430,0.826087,0.74026,0.780822,178865
3200,60,0.805556,0.753247,0.778523,195200
3200,70,0.805556,0.753247,0.778523,227200
720,300,0.814286,0.74026,0.77551,216720
415,200,0.794521,0.753247,0.773333,83415
1100,200,0.794521,0.753247,0.773333,221100
415,225,0.794521,0.753247,0.773333,93790
415,280,0.794521,0.753247,0.773333,116615
415,350,0.857143,0.701299,0.771429,145665
415,400,0.857143,0.701299,0.771429,166415
3320,10,0.759494,0.779221,0.769231,36520
830,85,0.783784,0.753247,0.768212,71380
830,100,0.783784,0.753247,0.768212,83830
623,300,0.820896,0.714286,0.763889,187523
623,200,0.763158,0.753247,0.75817,125223
830,70,0.753247,0.753247,0.753247,58930
415,85,0.753247,0.753247,0.753247,35690
250,200,0.74026,0.74026,0.74026,50250
250,300,0.74026,0.74026,0.74026,75250
250,120,0.707317,0.753247,0.72956,30250
1660,70,0.698795,0.753247,0.725,117860
1660,85,0.698795,0.753247,0.725,142760
2600,85,0.698795,0.753247,0.725,223600
325,100,0.698795,0.753247,0.725,32825
623,100,0.698795,0.753247,0.725,62923
1660,100,0.698795,0.753247,0.725,167660
2000,100,0.698795,0.753247,0.725,202000
325,120,0.698795,0.753247,0.725,39325
100,100,0.666667,0.779221,0.718563,10100
1660,10,0.659341,0.779221,0.714286,18260
250,100,0.608247,0.766234,0.678161,25250
6000,10,0.495935,0.792208,0.61,66000
11500,10,0.495935,0.792208,0.61,126500
15600,10,0.458647,0.792208,0.580952,171600
188000,1,0.022829,0.857143,0.044474,376000
11500,1,0.018915,0.883117,0.037037,23000
15600,1,0.018915,0.883117,0.037037,31200
415,1,0.018894,0.896104,0.037007,830
6000,1,0.018878,0.883117,0.036967,12000
